time,facility,tier,date,g1,g1_label,g2,g2_label,g3,g3_label,tot_infractions,tot_g_infractions,orig_shu_days
1305,Attica,3,2022-09-01,118.22, UNHYGIENIC ACT ,102.10, THREATS ,107.10, INTERFERENCE ,3,3.0,89
1100,Auburn,3,2022-09-01,101.20, LEWD CONDUCT ,112.20, DELAY COUNT ,,,2,2.0,60
1250,Auburn,3,2022-09-01,113.10, WEAPON ,115.10, SEARCH/FRISK ,113.23, CONTRABAND ,5,3.0,90
1215,Auburn,3,2022-09-01,100.13, FIGHTING ,118.10, ARSON ,104.11, VIOLENT CONDUCT ,7,7.0,60
1920,Cayuga,3,2022-09-01,118.10, ARSON ,118.31, TAMPER W/ ELEC ,,,2,2.0,30
1613,Coxsackie,3,2022-09-01,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,120
915,Elmira,3,2022-09-01,101.20, LEWD CONDUCT ,107.10, INTERFERENCE ,,,2,2.0,45
840,Five Points,3,2022-09-01,102.10, THREATS ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,6,6.0,90
1100,Five Points,3,2022-09-01,118.22, UNHYGIENIC ACT ,104.11, VIOLENT CONDUCT ,107.10, INTERFERENCE ,3,3.0,120
940,Five Points,3,2022-09-01,100.11, ASSAULT ON STAFF ,113.10, WEAPON ,102.10, THREATS ,7,7.0,199
1000,Franklin,3,2022-09-01,102.10, THREATS ,106.10, DIRECT ORDER ,,,2,2.0,70
1440,Gouverneur,3,2022-09-01,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,15
1320,Great Meadow,3,2022-09-01,102.10, THREATS ,102.10, THREATS ,102.10, THREATS ,11,11.0,270
1255,Great Meadow,3,2022-09-01,104.11, VIOLENT CONDUCT ,,,,,2,1.0,90
1945,Green Haven,3,2022-09-01,100.10, ASSAULT ON INCAR INDIV ,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,7,6.0,50
635,Green Haven,3,2022-09-01,100.11, ASSAULT ON STAFF ,118.22, UNHYGIENIC ACT ,102.10, THREATS ,6,5.0,50
1945,Green Haven,3,2022-09-01,100.10, ASSAULT ON INCAR INDIV ,113.10, WEAPON ,100.13, FIGHTING ,7,6.0,194
1035,Groveland,3,2022-09-01,100.10, ASSAULT ON INCAR INDIV ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,5,5.0,172
845,Marcy,3,2022-09-01,118.22, UNHYGIENIC ACT ,,,,,3,1.0,180
1930,Marcy,3,2022-09-01,113.10, WEAPON ,114.10, SMUGGLING ,113.23, CONTRABAND ,3,3.0,182
1035,Mohawk,3,2022-09-01,102.10, THREATS ,106.10, DIRECT ORDER ,118.33, FLOODING ,6,6.0,60
1313,Upstate,3,2022-09-01,100.13, FIGHTING ,107.10, INTERFERENCE ,104.13, CREATE DISTURB ,3,3.0,10
1313,Upstate,3,2022-09-01,100.13, FIGHTING ,107.10, INTERFERENCE ,104.13, CREATE DISTURB ,3,3.0,30
1450,Upstate,3,2022-09-01,113.10, WEAPON ,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,5,5.0,120
2005,Upstate,3,2022-09-01,102.10, THREATS ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,6,6.0,19
1132,Washington,3,2022-09-01,100.11, ASSAULT ON STAFF ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,225
1133,Washington,3,2022-09-01,100.11, ASSAULT ON STAFF ,100.11, ASSAULT ON STAFF ,104.11, VIOLENT CONDUCT ,8,8.0,225
1840,Wende,3,2022-09-01,100.11, ASSAULT ON STAFF ,118.22, UNHYGIENIC ACT ,104.11, VIOLENT CONDUCT ,5,5.0,209
1902,Attica,3,2022-09-02,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,109.10, OUT OF PLACE ,3,3.0,30
945,Attica,3,2022-09-02,107.10, INTERFERENCE ,104.13, CREATE DISTURB ,107.11, HARASSMENT ,4,3.0,30
850,Auburn,3,2022-09-02,113.10, WEAPON ,,,,,1,1.0,90
1745,Clinton,3,2022-09-02,102.10, THREATS ,115.10, SEARCH/FRISK ,106.10, DIRECT ORDER ,4,3.0,50
2015,Clinton,3,2022-09-02,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,45
2015,Clinton,3,2022-09-02,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,4,4.0,30
1125,Collins,3,2022-09-02,113.10, WEAPON ,,,,,4,1.0,30
1930,Elmira,3,2022-09-02,113.10, WEAPON ,,,,,4,1.0,90
900,Franklin,3,2022-09-02,102.10, THREATS ,104.12, DEMONSTRATION ,106.10, DIRECT ORDER ,5,5.0,125
900,Franklin,3,2022-09-02,102.10, THREATS ,104.12, DEMONSTRATION ,106.10, DIRECT ORDER ,5,5.0,125
900,Franklin,3,2022-09-02,102.10, THREATS ,104.12, DEMONSTRATION ,106.10, DIRECT ORDER ,5,5.0,55
900,Franklin,3,2022-09-02,102.10, THREATS ,104.12, DEMONSTRATION ,106.10, DIRECT ORDER ,5,5.0,95
900,Franklin,3,2022-09-02,102.10, THREATS ,104.12, DEMONSTRATION ,106.10, DIRECT ORDER ,5,5.0,125
900,Franklin,3,2022-09-02,102.10, THREATS ,104.12, DEMONSTRATION ,106.10, DIRECT ORDER ,5,5.0,60
1855,Franklin,3,2022-09-02,102.10, THREATS ,,,,,1,1.0,50
840,Franklin,3,2022-09-02,102.10, THREATS ,106.10, DIRECT ORDER ,,,2,2.0,55
2100,Gouverneur,3,2022-09-02,102.10, THREATS ,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,4,4.0,15
1100,Green Haven,3,2022-09-02,113.10, WEAPON ,114.10, SMUGGLING ,113.23, CONTRABAND ,3,3.0,153
1916,Greene,3,2022-09-02,100.13, FIGHTING ,104.11, VIOLENT CONDUCT ,104.13, CREATE DISTURB ,7,3.0,30
1916,Greene,3,2022-09-02,100.10, ASSAULT ON INCAR INDIV ,113.10, WEAPON ,100.13, FIGHTING ,7,7.0,150
1530,Lakeview,3,2022-09-02,104.11, VIOLENT CONDUCT ,107.10, INTERFERENCE ,104.13, CREATE DISTURB ,5,3.0,89
1938,Marcy,3,2022-09-02,114.10, SMUGGLING ,103.20, SOLICITING ,,,3,2.0,270
1345,Upstate,3,2022-09-02,102.10, THREATS ,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,3,3.0,60
1025,Upstate,3,2022-09-02,106.10, DIRECT ORDER ,107.10, INTERFERENCE ,,,3,2.0,45
2115,Upstate,3,2022-09-02,104.11, VIOLENT CONDUCT ,106.10, DIRECT ORDER ,,,2,2.0,60
900,Washington,3,2022-09-02,105.13, GANGS ,,,,,1,1.0,90
