,time,facility,tier,date,g1,g1_label,g2,g2_label,g3,g3_label,tot_infractions,tot_g_infractions,orig_shu_days,year_month
count,7445.0,7445,7445.0,7445,7445.0,7445,6922.0,6922,5769.0,5769,7445.0,7445.0,7445.0,7445
unique,,45,,,,61,,98,,105,,,,10
top,,upstate,,,, FIGHTING ,, VIOLENT CONDUCT ,, DIRECT ORDER ,,,,2022-05
freq,,584,,,,1361,,2198,,1624,,,,1068
mean,1332.8746809939557,,3.0,2022-08-16 00:18:22.484889344,104.53410879784168,,107.3600303380418,,107.64392269023286,,4.198925453324379,3.789657488247146,100.81558092679651,
min,0.0,,3.0,2022-04-01 00:00:00,100.1,,100.1,,100.11,,1.0,1.0,1.0,
25%,940.0,,3.0,2022-05-27 00:00:00,100.13,,104.11,,104.13,,3.0,3.0,34.0,
50%,1258.0,,3.0,2022-08-08 00:00:00,102.1,,104.13,,106.1,,4.0,4.0,67.0,
75%,1715.0,,3.0,2022-11-03 00:00:00,106.1,,113.1,,107.1,,5.0,5.0,120.0,
max,2359.0,,3.0,2023-01-25 00:00:00,118.22,,181.1,,181.1,,21.0,19.0,1825.0,
std,474.9972355016369,,0.0,,5.680273320792754,,7.394094132762924,,8.657347465612697,,1.9162471510633272,1.8153845656640022,102.1598192362868,
