New York State Department of Corrections and Community Supervision,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
"Incidents Originally Resulting in a SHU sanction - April 2022 (Dismissals Excluded, Only Guilty Rule Violations Included)",,,,,,,,,,,,
Date,Time,Facility,TIER,Guilty1,,Guilty2,,Guilty3,,TotalInfractions,Total GuiltyInfractions,OriginalSHUDays
2022-04-01,0805,Albion,3,114.10,SMUGGLING,106.10,DIRECT ORDER,113.22,PROP UNAUTH LOC,3,3,30
2022-04-01,1306,Auburn,3,114.10,SMUGGLING,116.10,LOSS/DAMAGE PROP,113.11,ALTERED ITEM,4,3,3
2022-04-01,0920,Auburn,3,113.10,WEAPON,,,,,2,1,80
2022-04-01,1100,Bedford Hills,3,114.10,SMUGGLING,113.33,DRUG POSSES,113.34,DRUG USE,7,7,180
2022-04-01,1435,Cape Vincent,3,102.10,THREATS,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,5,5,48
2022-04-01,0805,Clinton,3,113.10,WEAPON,100.13,FIGHTING,104.11,VIOLENT CONDUCT,5,4,371
2022-04-01,1910,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,120
2022-04-01,0820,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,120
2022-04-01,0805,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,3,35
2022-04-01,1250,Clinton,3,113.10,WEAPON,118.22,UNHYGIENIC ACT,104.11,VIOLENT CONDUCT,5,5,180
2022-04-01,1955,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,45
2022-04-01,1910,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,59
2022-04-01,1955,Clinton,3,100.13,FIGHTING,106.10,DIRECT ORDER,104.13,CREATE DISTURB,4,3,4
2022-04-01,0820,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,90
2022-04-01,0805,Clinton,3,113.10,WEAPON,100.13,FIGHTING,104.11,VIOLENT CONDUCT,5,5,365
2022-04-01,1910,Clinton,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,33
2022-04-01,1035,Elmira,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,15
2022-04-01,1020,Fishkill,3,113.10,WEAPON,114.10,SMUGGLING,,,2,2,90
2022-04-01,1350,Five Points,3,100.11,ASSAULT ON STAFF,113.10,WEAPON,102.10,THREATS,8,8,180
2022-04-01,0745,Five Points,3,102.10,THREATS,107.10,INTERFERENCE,104.13,CREATE DISTURB,4,4,45
2022-04-01,1605,Five Points,3,113.10,WEAPON,100.13,FIGHTING,104.11,VIOLENT CONDUCT,6,6,365
2022-04-01,0805,Five Points,3,102.10,THREATS,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,3,3,365
2022-04-01,0710,Franklin,3,100.13,FIGHTING,104.11,VIOLENT CONDUCT,106.10,DIRECT ORDER,4,4,60
