Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - August 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of August 29, 2022",,,,,,,,,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days,,,,,,,
2022-08-01,1328,Attica,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,119,,,,,,,
2022-08-01,1328,Attica,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,90,,,,,,,
2022-08-01,1040,Attica,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,89,,,,,,,
2022-08-01,1920,Attica,3 102.10 THREATS 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 4,4.0,44,,,,,,,
2022-08-01,900,Auburn,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,75,,,,,,,
2022-08-01,900,Auburn,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,120,,,,,,,
2022-08-01,900,Auburn,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,4.0,90,,,,,,,
2022-08-01,915,Auburn,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,90,,,,,,,
2022-08-01,0,Bedford Hills,3 102.10 THREATS 106.10 DIRECT ORDER 118.33 FLOODING 10,9.0,60,,,,,,,
2022-08-01,2130,Bedford Hills,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 5,4.0,120,,,,,,,
2022-08-01,810,Cayuga,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,62,,,,,,,
2022-08-01,1540,Collins,3 100.11 ASSAULT ON STAFF 1,1.0,45,,,,,,,
2022-08-01,2140,Collins,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 3,3.0,90,,,,,,,
2022-08-01,1635,Coxsackie,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,4.0,180,,,,,,,
2022-08-01,1635,Coxsackie,3 104.10 RIOTING 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,5.0,150,,,,,,,
2022-08-01,1035,Coxsackie,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,270,,,,,,,
2022-08-01,1035,Coxsackie,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,90,,,,,,,
2022-08-01,1635,Coxsackie,3 104.10 RIOTING 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,5.0,120,,,,,,,
2022-08-01,1635,Coxsackie,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 7,5.0,360,,,,,,,
2022-08-01,1635,Coxsackie,3 104.10 RIOTING 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,5.0,90,,,,,,,
2022-08-01,1635,Coxsackie,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,4.0,90,,,,,,,
2022-08-01,1635,Coxsackie,3 104.10 RIOTING 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,5.0,210,,,,,,,
2022-08-01,1700,Coxsackie,3 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,2.0,120,,,,,,,
2022-08-01,1035,Coxsackie,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,270,,,,,,,
2022-08-01,1635,Coxsackie,3 104.10 RIOTING 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,5.0,270,,,,,,,
2022-08-01,1035,Coxsackie,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,730,,,,,,,
2022-08-01,1035,Coxsackie,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,90,,,,,,,
2022-08-01,1635,Coxsackie,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,4.0,270,,,,,,,
2022-08-01,1635,Coxsackie,3 104.10 RIOTING 104.12 DEMONSTRATION 106.10 DIRECT ORDER 4,4.0,210,,,,,,,
2022-08-01,1635,Coxsackie,3 104.10 RIOTING 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,5.0,120,,,,,,,
2022-08-01,1635,Coxsackie,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 7,5.0,360,,,,,,,
2022-08-01,1635,Coxsackie,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 7,5.0,360,,,,,,,
2022-08-01,1635,Coxsackie,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 104.12 DEMONSTRATION 6,5.0,180,,,,,,,
2022-08-01,1635,Coxsackie,3 100.11 ASSAULT ON STAFF 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,4.0,60,,,,,,,
2022-08-01,1635,Coxsackie,3 100.11 ASSAULT ON STAFF 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 14,12.0,365,,,,,,,
2022-08-01,702,Fishkill,3 100.11 ASSAULT ON STAFF 113.23 CONTRABAND 107.11 HARASSMENT 8,3.0,59,,,,,,,
2022-08-01,945,Franklin,3 113.10 WEAPON 105.13 GANGS 113.23 CONTRABAND 4,4.0,162,,,,,,,
2022-08-01,1450,Great Meadow,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 3,3.0,365,,,,,,,
2022-08-01,1800,Great Meadow,3 102.10 THREATS 104.11 VIOLENT CONDUCT 107.11 HARASSMENT 4,3.0,59,,,,,,,
2022-08-01,915,Great Meadow,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,15,,,,,,,
2022-08-01,1255,Green Haven,3 113.10 WEAPON 2,1.0,105,,,,,,,
2022-08-01,1730,Green Haven,3 105.13 GANGS 113.23 CONTRABAND 2,2.0,20,,,,,,,
2022-08-01,1755,Green Haven,3 113.10 WEAPON 113.10 WEAPON 113.23 CONTRABAND 4,4.0,77,,,,,,,
2022-08-01,1835,Greene,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 109.12 MOVEMENT VIO 3,3.0,30,,,,,,,
2022-08-01,40,Greene,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,95,,,,,,,
2022-08-01,2142,Marcy,3 114.10 SMUGGLING 113.34 DRUG USE 2,2.0,60,,,,,,,
2022-08-01,1000,Marcy,3 106.10 DIRECT ORDER 101.20 LEWD CONDUCT 2,2.0,45,,,,,,,
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - August 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of August 29, 2022",,,,,,,,,
