Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - December 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of January 2, 2023",,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days
2022-12-01,900,Albion,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 20,11.0,90
2022-12-01,1530,Albion,3 118.22 UNHYGIENIC ACT 102.10 THREATS 104.13 CREATE DISTURB 3,3.0,30
2022-12-01,920,Auburn,3 113.10 WEAPON 1,1.0,180
2022-12-01,1215,Auburn,3 100.13 FIGHTING 106.10 DIRECT ORDER 4,2.0,5
2022-12-01,1215,Auburn,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,90
2022-12-01,830,Bare Hill,3 102.10 THREATS 107.11 HARASSMENT 2,2.0,20
2022-12-01,820,Cape Vincent,3 114.10 SMUGGLING 113.23 CONTRABAND 2,2.0,46
2022-12-01,1850,Clinton,3 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 6,2.0,13
2022-12-01,1815,Coxsackie,3 118.22 UNHYGIENIC ACT 1,1.0,210
2022-12-01,1100,Elmira,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,30
2022-12-01,1100,Elmira,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,30
2022-12-01,1900,Five Points,3 105.13 GANGS 1,1.0,60
2022-12-01,1750,Franklin,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 106.10 DIRECT ORDER 6,6.0,15
2022-12-01,1358,Greene,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 109.12 MOVEMENT VIO 3,3.0,30
2022-12-01,1425,Greene,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,200
2022-12-01,1633,Greene,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 7,7.0,270
2022-12-01,2350,Riverview,3 100.13 FIGHTING 106.10 DIRECT ORDER 104.13 CREATE DISTURB 4,3.0,59
2022-12-01,2350,Riverview,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,30
2022-12-01,2300,Upstate,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 107.11 HARASSMENT 5,5.0,30
2022-12-01,1700,Wende,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,239
2022-12-02,2050,Attica,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 104.13 CREATE DISTURB 3,3.0,4
2022-12-02,1140,Elmira,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,200
2022-12-02,2145,Elmira,3 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 3,2.0,15
2022-12-02,1900,Elmira,3 118.22 UNHYGIENIC ACT 2,1.0,60
2022-12-02,900,Fishkill,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,60
2022-12-02,900,Fishkill,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,2.0,30
2022-12-02,845,Five Points,3 100.10 ASSAULT ON INCAR INDIV 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 3,3.0,180
2022-12-02,1745,Five Points,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 4,4.0,365
2022-12-02,1035,Five Points,3 100.13 FIGHTING 102.10 THREATS 104.11 VIOLENT CONDUCT 6,6.0,120
2022-12-02,1010,Gouverneur,3 113.10 WEAPON 114.10 SMUGGLING 106.10 DIRECT ORDER 4,4.0,182
2022-12-02,1610,Great Meadow,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,3.0,30
2022-12-02,1030,Great Meadow,3 100.10 ASSAULT ON INCAR INDIV 104.11 VIOLENT CONDUCT 2,2.0,120
2022-12-02,1430,Greene,3 113.10 WEAPON 102.10 THREATS 104.11 VIOLENT CONDUCT 8,5.0,190
2022-12-02,1305,Greene,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,60
2022-12-02,632,Mohawk,3 100.13 FIGHTING 102.10 THREATS 104.11 VIOLENT CONDUCT 4,4.0,59
