Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - January 2023 (Dismissals Excluded, Only Guilty Rule Violations Included) As of January 30, 2023",,,,,,,,,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days,,,,,,,
2023-01-01,830,Auburn,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,3.0,30,,,,,,,
2023-01-01,830,Auburn,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,90,,,,,,,
2023-01-01,1250,Bedford Hills,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,30,,,,,,,
2023-01-01,1710,Bedford Hills,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 2,2.0,150,,,,,,,
2023-01-01,1635,Bedford Hills,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,29,,,,,,,
2023-01-01,915,Clinton,3 113.10 WEAPON 113.23 CONTRABAND 2,2.0,29,,,,,,,
2023-01-01,1017,Coxsackie,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 107.10 INTERFERENCE 6,5.0,59,,,,,,,
2023-01-01,1825,Coxsackie,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,3.0,60,,,,,,,
2023-01-01,1635,Coxsackie,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,365,,,,,,,
2023-01-01,1017,Coxsackie,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 8,8.0,90,,,,,,,
2023-01-01,1200,Five Points,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,20,,,,,,,
2023-01-01,1200,Five Points,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 5,4.0,90,,,,,,,
2023-01-01,1525,Franklin,3 102.10 THREATS 106.10 DIRECT ORDER 104.13 CREATE DISTURB 4,4.0,55,,,,,,,
2023-01-01,1150,Great Meadow,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 8,8.0,180,,,,,,,
2023-01-01,2305,Groveland,3 102.10 THREATS 104.12 DEMONSTRATION 106.10 DIRECT ORDER 8,5.0,156,,,,,,,
2023-01-01,2305,Groveland,3 102.10 THREATS 104.12 DEMONSTRATION 106.10 DIRECT ORDER 8,8.0,119,,,,,,,
2023-01-01,1535,Marcy,3 104.11 VIOLENT CONDUCT 105.13 GANGS 3,2.0,30,,,,,,,
2023-01-01,2025,Marcy,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 104.11 VIOLENT CONDUCT 3,3.0,365,,,,,,,
2023-01-01,1745,Otisville,3 114.10 SMUGGLING 106.10 DIRECT ORDER 113.23 CONTRABAND 3,3.0,30,,,,,,,
2023-01-01,1530,Taconic,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 7,5.0,30,,,,,,,
2023-01-02,1530,Albion,3 100.10 ASSAULT ON INCAR INDIV 104.11 VIOLENT CONDUCT 109.10 OUT OF PLACE 3,3.0,90,,,,,,,
2023-01-02,1530,Albion,3 100.10 ASSAULT ON INCAR INDIV 104.11 VIOLENT CONDUCT 109.10 OUT OF PLACE 3,3.0,40,,,,,,,
2023-01-02,1530,Albion,3 100.10 ASSAULT ON INCAR INDIV 104.11 VIOLENT CONDUCT 109.10 OUT OF PLACE 3,3.0,78,,,,,,,
2023-01-02,1010,Bedford Hills,3 100.10 ASSAULT ON INCAR INDIV 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,4.0,45,,,,,,,
2023-01-02,1015,Clinton,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 7,6.0,120,,,,,,,
2023-01-02,1015,Clinton,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,30,,,,,,,
2023-01-02,1945,Collins,3 104.11 VIOLENT CONDUCT 114.10 SMUGGLING 113.11 ALTERED ITEM 5,3.0,60,,,,,,,
2023-01-02,745,Coxsackie,3 102.10 THREATS 104.11 VIOLENT CONDUCT 111.10 IMPERSONATION 7,5.0,120,,,,,,,
2023-01-02,1905,Coxsackie,3 100.11 ASSAULT ON STAFF 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 7,7.0,60,,,,,,,
2023-01-02,1905,Eastern,3 100.11 ASSAULT ON STAFF 101.22 STALKING 104.11 VIOLENT CONDUCT 5,5.0,183,,,,,,,
