Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - July 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of August 1, 2022",,,,,,,,,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days,,,,,,,
2022-07-01,1830,Albion,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 4,4.0,60,,,,,,,
2022-07-01,1830,Albion,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 4,4.0,45,,,,,,,
2022-07-01,2130,Auburn,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,180,,,,,,,
2022-07-01,2130,Auburn,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,180,,,,,,,
2022-07-01,2130,Auburn,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,90,,,,,,,
2022-07-01,2130,Auburn,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,2.0,90,,,,,,,
2022-07-01,2130,Auburn,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 104.13 CREATE DISTURB 4,3.0,34,,,,,,,
2022-07-01,2130,Auburn,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,3.0,89,,,,,,,
2022-07-01,2130,Auburn,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,180,,,,,,,
2022-07-01,1630,Auburn,3 104.12 DEMONSTRATION 104.12 DEMONSTRATION 106.10 DIRECT ORDER 10,8.0,180,,,,,,,
2022-07-01,830,Auburn,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 2,2.0,365,,,,,,,
2022-07-01,2130,Auburn,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,120,,,,,,,
2022-07-01,2130,Auburn,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,30,,,,,,,
2022-07-01,2130,Auburn,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,124,,,,,,,
2022-07-01,1505,Auburn,3 113.10 WEAPON 113.23 CONTRABAND 113.11 ALTERED ITEM 4,4.0,90,,,,,,,
2022-07-01,800,Bare Hill,3 100.11 ASSAULT ON STAFF 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 4,4.0,45,,,,,,,
2022-07-01,730,Clinton,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 6,6.0,271,,,,,,,
2022-07-01,730,Clinton,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 6,6.0,366,,,,,,,
2022-07-01,730,Clinton,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,90,,,,,,,
2022-07-01,730,Clinton,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,90,,,,,,,
2022-07-01,1105,Clinton,3 102.10 THREATS 104.13 CREATE DISTURB 2,2.0,45,,,,,,,
2022-07-01,1235,Coxsackie,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 2,2.0,120,,,,,,,
2022-07-01,2110,Coxsackie,3 102.10 THREATS 104.11 VIOLENT CONDUCT 107.11 HARASSMENT 5,3.0,60,,,,,,,
2022-07-01,759,Fishkill,3 100.11 ASSAULT ON STAFF 118.10 ARSON 104.11 VIOLENT CONDUCT 5,5.0,270,,,,,,,
2022-07-01,730,Five Points,3 100.11 ASSAULT ON STAFF 102.10 THREATS 104.11 VIOLENT CONDUCT 6,5.0,400,,,,,,,
2022-07-01,1020,Great Meadow,3 118.10 ARSON 1,1.0,30,,,,,,,
2022-07-01,2000,Great Meadow,3 118.22 UNHYGIENIC ACT 107.10 INTERFERENCE 2,2.0,120,,,,,,,
2022-07-01,1800,Green Haven,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,4.0,7,,,,,,,
