Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - June 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of July 1, 2022",,
Date,Time Facility,,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days
2022-06-01,905 Albion,,3 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 5,4.0,14
2022-06-01,1010 Albion,,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 104.13 CREATE DISTURB 4,4.0,90
2022-06-01,905 Albion,,3 102.10 THREATS 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 5,3.0,30
2022-06-01,851 Attica,,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,4.0,47
2022-06-01,1410 Auburn,,3 105.13 GANGS 1,1.0,45
2022-06-01,1053 Auburn,,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 6,4.0,119
2022-06-01,930 Auburn,,3 113.10 WEAPON 104.10 RIOTING 104.11 VIOLENT CONDUCT 8,8.0,729
2022-06-01,835 Auburn,,3 113.10 WEAPON 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,65
2022-06-01,1105 Auburn,,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 6,4.0,120
2022-06-01,825 Auburn,,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 5,5.0,59
2022-06-01,1725 Auburn,,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 107.10 INTERFERENCE 6,3.0,75
2022-06-01,809 Auburn,,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 4,4.0,90
2022-06-01,1147 Auburn,,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,2.0,72
2022-06-01,1130 Auburn,,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 4,4.0,60
2022-06-01,1435 Auburn,,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 107.10 INTERFERENCE 5,3.0,60
2022-06-01,920 Auburn,,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 5,3.0,90
2022-06-01,840 Auburn,,3 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 104.13 CREATE DISTURB 5,3.0,60
2022-06-01,1415 Auburn,,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 107.10 INTERFERENCE 6,4.0,30
2022-06-01,850 Auburn,,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 5,3.0,60
2022-06-01,1258 Auburn,,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,183
2022-06-01,1127 Auburn,,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 104.11 VIOLENT CONDUCT 7,5.0,90
2022-06-01,1535 Auburn,,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 3,3.0,12
2022-06-01,935 Auburn,,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 5,5.0,14
2022-06-01,1700 Bare Hill,,3 100.11 ASSAULT ON STAFF 102.10 THREATS 104.11 VIOLENT CONDUCT 10,8.0,120
2022-06-01,1440 Bare Hill,,3 113.10 WEAPON 114.10 SMUGGLING 115.10 SEARCH/FRISK 6,6.0,100
2022-06-01,1300 Bare Hill,,3 102.10 THREATS 106.10 DIRECT ORDER 109.12 MOVEMENT VIO 3,3.0,60
2022-06-01,1040 Clinton,,3 104.11 VIOLENT CONDUCT 109.12 MOVEMENT VIO 3,2.0,87
2022-06-01,1405 Coxsackie,,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,5.0,270
