Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - May 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of June 7, 2022",,,,,,,,,
Date,Time,Facility,TIER Guilty1 Guilty2 Guilty3 Total Infractions Total Guilty Infractions,,Original SHU Days,,,,,,,
2022-05-01,2055,Attica,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,114,,,,,,,
2022-05-01,1627,Attica,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,180,,,,,,,
2022-05-01,1105,Attica,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,89,,,,,,,
2022-05-01,2055,Attica,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,119,,,,,,,
2022-05-01,2055,Attica,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,120,,,,,,,
2022-05-01,1215,Attica,3 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,2.0,90,,,,,,,
2022-05-01,2055,Attica,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,120,,,,,,,
2022-05-01,1627,Attica,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 6,5.0,183,,,,,,,
2022-05-01,1627,Attica,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 4,4.0,120,,,,,,,
2022-05-01,1140,Attica,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 7,7.0,120,,,,,,,
2022-05-01,1115,Attica,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 6,6.0,178,,,,,,,
2022-05-01,2055,Attica,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,90,,,,,,,
2022-05-01,2055,Attica,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,30,,,,,,,
