Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - November 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of December 5, 2022",,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days
2022-11-01,1320,Albion,3 113.23 CONTRABAND 113.22 PROP UNAUTH LOC 3,2.0,10
2022-11-01,1320,Auburn,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,90
2022-11-01,1320,Auburn,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 4,3.0,30
2022-11-01,2300,Auburn,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 107.10 INTERFERENCE 5,3.0,60
2022-11-01,1335,Bedford Hills,3 100.13 FIGHTING 104.13 CREATE DISTURB 3,2.0,8
2022-11-01,1135,Clinton,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,77
2022-11-01,1430,Clinton,3 104.11 VIOLENT CONDUCT 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 4,4.0,15
2022-11-01,1620,Clinton,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 3,3.0,269
2022-11-01,1215,Clinton,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,4.0,30
2022-11-01,1140,Elmira,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,179
2022-11-01,1520,Elmira,3 100.13 FIGHTING 1,1.0,15
2022-11-01,1930,Five Points,3 113.10 WEAPON 114.10 SMUGGLING 113.16 UNAUTH VALUABLE 4,3.0,150
2022-11-01,1655,Five Points,3 100.13 FIGHTING 106.10 DIRECT ORDER 104.13 CREATE DISTURB 4,3.0,30
2022-11-01,1745,Gouverneur,3 102.10 THREATS 106.10 DIRECT ORDER 4,2.0,30
2022-11-01,930,Great Meadow,3 100.10 ASSAULT ON INCAR INDIV 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 4,3.0,58
2022-11-01,1220,Great Meadow,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 118.22 UNHYGIENIC ACT 16,13.0,180
2022-11-01,1240,Green Haven,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 4,4.0,156
2022-11-01,653,Greene,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 105.13 GANGS 4,4.0,120
