Unnamed: 0,Unnamed: 1,Unnamed: 2,New York State Department of Corrections and Community Supervision,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - September 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of October 3, 2022",,,,,,,,,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days,,,,,,,
2022-09-01,1305,Attica,3 118.22 UNHYGIENIC ACT 102.10 THREATS 107.10 INTERFERENCE 3,3.0,89,,,,,,,
2022-09-01,1100,Auburn,3 101.20 LEWD CONDUCT 112.20 DELAY COUNT 2,2.0,60,,,,,,,
2022-09-01,1250,Auburn,3 113.10 WEAPON 115.10 SEARCH/FRISK 113.23 CONTRABAND 5,3.0,90,,,,,,,
2022-09-01,1215,Auburn,3 100.13 FIGHTING 118.10 ARSON 104.11 VIOLENT CONDUCT 7,7.0,60,,,,,,,
2022-09-01,1920,Cayuga,3 118.10 ARSON 118.31 TAMPER W/ ELEC 2,2.0,30,,,,,,,
2022-09-01,1613,Coxsackie,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,120,,,,,,,
2022-09-01,915,Elmira,3 101.20 LEWD CONDUCT 107.10 INTERFERENCE 2,2.0,45,,,,,,,
2022-09-01,840,Five Points,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,6.0,90,,,,,,,
2022-09-01,1100,Five Points,3 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 3,3.0,120,,,,,,,
2022-09-01,940,Five Points,3 100.11 ASSAULT ON STAFF 113.10 WEAPON 102.10 THREATS 7,7.0,199,,,,,,,
2022-09-01,1000,Franklin,3 102.10 THREATS 106.10 DIRECT ORDER 2,2.0,70,,,,,,,
2022-09-01,1440,Gouverneur,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,15,,,,,,,
2022-09-01,1320,Great Meadow,3 102.10 THREATS 102.10 THREATS 102.10 THREATS 11,11.0,270,,,,,,,
2022-09-01,1255,Great Meadow,3 104.11 VIOLENT CONDUCT 2,1.0,90,,,,,,,
2022-09-01,1945,Green Haven,3 100.10 ASSAULT ON INCAR INDIV 100.13 FIGHTING 104.11 VIOLENT CONDUCT 7,6.0,50,,,,,,,
2022-09-01,635,Green Haven,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 102.10 THREATS 6,5.0,50,,,,,,,
2022-09-01,1945,Green Haven,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 7,6.0,194,,,,,,,
2022-09-01,1035,Groveland,3 100.10 ASSAULT ON INCAR INDIV 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 5,5.0,172,,,,,,,
2022-09-01,845,Marcy,3 118.22 UNHYGIENIC ACT 3,1.0,180,,,,,,,
2022-09-01,1930,Marcy,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 3,3.0,182,,,,,,,
2022-09-01,1035,Mohawk,3 102.10 THREATS 106.10 DIRECT ORDER 118.33 FLOODING 6,6.0,60,,,,,,,
2022-09-01,1313,Upstate,3 100.13 FIGHTING 107.10 INTERFERENCE 104.13 CREATE DISTURB 3,3.0,10,,,,,,,
2022-09-01,1313,Upstate,3 100.13 FIGHTING 107.10 INTERFERENCE 104.13 CREATE DISTURB 3,3.0,30,,,,,,,
2022-09-01,1450,Upstate,3 113.10 WEAPON 106.10 DIRECT ORDER 107.10 INTERFERENCE 5,5.0,120,,,,,,,
2022-09-01,2005,Upstate,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 6,6.0,19,,,,,,,
2022-09-01,1132,Washington,3 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,225,,,,,,,
2022-09-01,1133,Washington,3 100.11 ASSAULT ON STAFF 100.11 ASSAULT ON STAFF 104.11 VIOLENT CONDUCT 8,8.0,225,,,,,,,
2022-09-01,1840,Wende,3 100.11 ASSAULT ON STAFF 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 5,5.0,209,,,,,,,
2022-09-02,1902,Attica,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 109.10 OUT OF PLACE 3,3.0,30,,,,,,,
2022-09-02,945,Attica,3 107.10 INTERFERENCE 104.13 CREATE DISTURB 107.11 HARASSMENT 4,3.0,30,,,,,,,
2022-09-02,850,Auburn,3 113.10 WEAPON 1,1.0,90,,,,,,,
2022-09-02,1745,Clinton,3 102.10 THREATS 115.10 SEARCH/FRISK 106.10 DIRECT ORDER 4,3.0,50,,,,,,,
2022-09-02,2015,Clinton,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,45,,,,,,,
2022-09-02,2015,Clinton,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,30,,,,,,,
2022-09-02,1125,Collins,3 113.10 WEAPON 4,1.0,30,,,,,,,
2022-09-02,1930,Elmira,3 113.10 WEAPON 4,1.0,90,,,,,,,
2022-09-02,900,Franklin,3 102.10 THREATS 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,5.0,125,,,,,,,
2022-09-02,900,Franklin,3 102.10 THREATS 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,5.0,125,,,,,,,
2022-09-02,900,Franklin,3 102.10 THREATS 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,5.0,55,,,,,,,
2022-09-02,900,Franklin,3 102.10 THREATS 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,5.0,95,,,,,,,
2022-09-02,900,Franklin,3 102.10 THREATS 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,5.0,125,,,,,,,
2022-09-02,900,Franklin,3 102.10 THREATS 104.12 DEMONSTRATION 106.10 DIRECT ORDER 5,5.0,60,,,,,,,
2022-09-02,1855,Franklin,3 102.10 THREATS 1,1.0,50,,,,,,,
2022-09-02,840,Franklin,3 102.10 THREATS 106.10 DIRECT ORDER 2,2.0,55,,,,,,,
2022-09-02,2100,Gouverneur,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 4,4.0,15,,,,,,,
2022-09-02,1100,Green Haven,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 3,3.0,153,,,,,,,
2022-09-02,1916,Greene,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 104.13 CREATE DISTURB 7,3.0,30,,,,,,,
2022-09-02,1916,Greene,3 100.10 ASSAULT ON INCAR INDIV 113.10 WEAPON 100.13 FIGHTING 7,7.0,150,,,,,,,
2022-09-02,1530,Lakeview,3 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 104.13 CREATE DISTURB 5,3.0,89,,,,,,,
2022-09-02,1938,Marcy,3 114.10 SMUGGLING 103.20 SOLICITING 3,2.0,270,,,,,,,
2022-09-02,1345,Upstate,3 102.10 THREATS 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 3,3.0,60,,,,,,,
,,,"Disciplinary Incidents Originally Resulting in a SHU sanction - September 2022 (Dismissals Excluded, Only Guilty Rule Violations Included) As of October 3, 2022",,,,,,,,,
Date,Time,Facility,TIER Guilty1 G1Label Guilty2 G2Label Guilty3 G3Label Total Infractions Total Guilty Infractions,,Original SHU Days,,,,,,,
2022-09-02,1025,Upstate,3 106.10 DIRECT ORDER 107.10 INTERFERENCE 3,2.0,45,,,,,,,
2022-09-02,2115,Upstate,3 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 2,2.0,60,,,,,,,
2022-09-02,900,Washington,3 105.13 GANGS 1,1.0,90,,,,,,,
2022-09-02,1630,Washington,3 102.10 THREATS 104.11 VIOLENT CONDUCT 181.10 HEARING DISP 5,4.0,90,,,,,,,
2022-09-02,900,Washington,3 105.13 GANGS 1,1.0,30,,,,,,,
2022-09-02,1215,Wende,3 113.10 WEAPON 100.13 FIGHTING 104.11 VIOLENT CONDUCT 7,7.0,60,,,,,,,
2022-09-02,2110,Wende,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,50,,,,,,,
2022-09-02,2110,Wende,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,190,,,,,,,
2022-09-02,1215,Wende,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 106.10 DIRECT ORDER 4,4.0,50,,,,,,,
2022-09-02,1300,Woodbourne,3 102.10 THREATS 104.11 VIOLENT CONDUCT 103.20 SOLICITING 3,3.0,29,,,,,,,
2022-09-02,1025,Wyoming,3 118.22 UNHYGIENIC ACT 114.10 SMUGGLING 114.10 SMUGGLING 7,7.0,75,,,,,,,
2022-09-02,1240,Wyoming,3 100.13 FIGHTING 104.11 VIOLENT CONDUCT 107.10 INTERFERENCE 5,5.0,47,,,,,,,
2022-09-03,1220,Auburn,3 102.10 THREATS 106.10 DIRECT ORDER 107.10 INTERFERENCE 6,5.0,60,,,,,,,
2022-09-03,1538,Auburn,3 113.10 WEAPON 113.10 WEAPON 114.10 SMUGGLING 11,11.0,120,,,,,,,
2022-09-03,1948,Auburn,3 113.10 WEAPON 114.10 SMUGGLING 113.23 CONTRABAND 4,4.0,71,,,,,,,
2022-09-03,840,Auburn,3 118.22 UNHYGIENIC ACT 104.11 VIOLENT CONDUCT 2,2.0,75,,,,,,,
2022-09-03,1113,Clinton,3 105.13 GANGS 105.13 GANGS 113.31 ALCOLHOL USE 3,3.0,14,,,,,,,
